key,display_name,geojson_nazwa,voivodship,population,area_km2
powiat bolesławiecki__dolnośląskie,Powiat bolesławiecki,powiat bolesławiecki,dolnośląskie,90032,1303.51
powiat braniewski__warmińsko-mazurskie,Powiat braniewski,powiat braniewski,warmińsko-mazurskie,40927,1201.65
powiat brodnicki__kujawsko-pomorskie,Powiat brodnicki,powiat brodnicki,kujawsko-pomorskie,79129,1039.97
powiat brzeski__małopolskie,Powiat brzeski,powiat brzeski,małopolskie,93125,590.52
powiat brzeski__opolskie,Powiat brzeski,powiat brzeski,opolskie,89632,875.96
powiat brzeziński__łódzkie,Powiat brzeziński,powiat brzeziński,łódzkie,30793,358.56
powiat brzozowski__podkarpackie,Powiat brzozowski,powiat brzozowski,podkarpackie,65523,539.34
powiat buski__świętokrzyskie,Powiat buski,powiat buski,świętokrzyskie,71451,968.00
powiat bydgoski__kujawsko-pomorskie,Powiat bydgoski,powiat bydgoski,kujawsko-pomorskie,119448,1394.12
powiat bytowski__pomorskie,Powiat bytowski,powiat bytowski,pomorskie,79136,2192.07
powiat będziński__śląskie,Powiat będziński,powiat będziński,śląskie,147816,364.13
powiat chełmiński__kujawsko-pomorskie,Powiat chełmiński,powiat chełmiński,kujawsko-pomorskie,51817,526.94
powiat chełmski__lubelskie,Powiat chełmski,powiat chełmski,lubelskie,77752,1885.60
powiat chodzieski__wielkopolskie,Powiat chodzieski,powiat chodzieski,wielkopolskie,46955,685.06
powiat chojnicki__pomorskie,Powiat chojnicki,powiat chojnicki,pomorskie,97677,1364.21
powiat choszczeński__zachodniopomorskie,Powiat choszczeński,powiat choszczeński,zachodniopomorskie,48035,1327.63
powiat chrzanowski__małopolskie,Powiat chrzanowski,powiat chrzanowski,małopolskie,124190,370.12
powiat ciechanowski__mazowieckie,Powiat ciechanowski,powiat ciechanowski,mazowieckie,89213,1059.80
powiat cieszyński__śląskie,Powiat cieszyński,powiat cieszyński,śląskie,178005,730.29
powiat czarnkowsko-trzcianecki__wielkopolskie,Powiat czarnkowsko-trzcianecki,powiat czarnkowsko-trzcianecki,wielkopolskie,86868,1806.05
powiat częstochowski__śląskie,Powiat częstochowski,powiat częstochowski,śląskie,134341,1522.05
powiat człuchowski__pomorskie,Powiat człuchowski,powiat człuchowski,pomorskie,55933,1575.27
powiat drawski__zachodniopomorskie,Powiat drawski,powiat drawski,zachodniopomorskie,56842,1764.24
powiat działdowski__warmińsko-mazurskie,Powiat działdowski,powiat działdowski,warmińsko-mazurskie,64966,953.93
powiat dzierżoniowski__dolnośląskie,Powiat dzierżoniowski,powiat dzierżoniowski,dolnośląskie,100519,478.51
powiat dąbrowski__małopolskie,Powiat dąbrowski,powiat dąbrowski,małopolskie,59147,530.25
powiat dębicki__podkarpackie,Powiat dębicki,powiat dębicki,podkarpackie,135282,777.48
powiat elbląski__warmińsko-mazurskie,Powiat elbląski,powiat elbląski,warmińsko-mazurskie,57056,1415.58
powiat ełcki__warmińsko-mazurskie,Powiat ełcki,powiat ełcki,warmińsko-mazurskie,91613,1112.79
powiat garwoliński__mazowieckie,Powiat garwoliński,powiat garwoliński,mazowieckie,108940,1284.83
powiat gdański__pomorskie,Powiat gdański,powiat gdański,pomorskie,119362,793.75
powiat giżycki__warmińsko-mazurskie,Powiat giżycki,powiat giżycki,warmińsko-mazurskie,56465,1119.51
powiat gliwicki__śląskie,Powiat gliwicki,powiat gliwicki,śląskie,115540,664.37
powiat gnieźnieński__wielkopolskie,Powiat gnieźnieński,powiat gnieźnieński,wielkopolskie,145393,1255.03
powiat goleniowski__zachodniopomorskie,Powiat goleniowski,powiat goleniowski,zachodniopomorskie,82396,1615.48
powiat golubsko-dobrzyński__kujawsko-pomorskie,Powiat golubsko-dobrzyński,powiat golubsko-dobrzyński,kujawsko-pomorskie,44952,612.85
powiat gorlicki__małopolskie,Powiat gorlicki,powiat gorlicki,małopolskie,108778,966.46
powiat gorzowski__lubuskie,Powiat gorzowski,powiat gorzowski,lubuskie,72054,1214.23
powiat gostyniński__mazowieckie,Powiat gostyniński,powiat gostyniński,mazowieckie,44761,614.81
powiat gostyński__wielkopolskie,Powiat gostyński,powiat gostyński,wielkopolskie,75907,810.25
powiat gołdapski__warmińsko-mazurskie,Powiat gołdapski,powiat gołdapski,warmińsko-mazurskie,26625,772.29
powiat grajewski__podlaskie,Powiat grajewski,powiat grajewski,podlaskie,47039,967.62
powiat grodziski__mazowieckie,Powiat grodziski,powiat grodziski,mazowieckie,96698,367.04
powiat grodziski__wielkopolskie,Powiat grodziski,powiat grodziski,wielkopolskie,51940,641.87
powiat grudziądzki__kujawsko-pomorskie,Powiat grudziądzki,powiat grudziądzki,kujawsko-pomorskie,40202,727.76
powiat gryficki__zachodniopomorskie,Powiat gryficki,powiat gryficki,zachodniopomorskie,60025,1021.05
powiat gryfiński__zachodniopomorskie,Powiat gryfiński,powiat gryfiński,zachodniopomorskie,81598,1869.11
powiat grójecki__mazowieckie,Powiat grójecki,powiat grójecki,mazowieckie,98173,1267.73
powiat górowski__dolnośląskie,Powiat górowski,powiat górowski,dolnośląskie,34698,738.27
powiat głogowski__dolnośląskie,Powiat głogowski,powiat głogowski,dolnośląskie,88852,443.27
powiat głubczycki__opolskie,Powiat głubczycki,powiat głubczycki,opolskie,45291,672.63
powiat hajnowski__podlaskie,Powiat hajnowski,powiat hajnowski,podlaskie,42293,1623.53
powiat hrubieszowski__lubelskie,Powiat hrubieszowski,powiat hrubieszowski,lubelskie,62473,1268.02
powiat inowrocławski__kujawsko-pomorskie,Powiat inowrocławski,powiat inowrocławski,kujawsko-pomorskie,159311,1225.18
powiat iławski__warmińsko-mazurskie,Powiat iławski,powiat iławski,warmińsko-mazurskie,92826,1385.22
powiat janowski__lubelskie,Powiat janowski,powiat janowski,lubelskie,45503,875.28
powiat jarociński__wielkopolskie,Powiat jarociński,powiat jarociński,wielkopolskie,71507,587.29
powiat jarosławski__podkarpackie,Powiat jarosławski,powiat jarosławski,podkarpackie,120097,1028.66
powiat jasielski__podkarpackie,Powiat jasielski,powiat jasielski,podkarpackie,113226,830.87
powiat jaworski__dolnośląskie,Powiat jaworski,powiat jaworski,dolnośląskie,49937,581.55
powiat jeleniogórski__dolnośląskie,Powiat karkonoski,powiat jeleniogórski,dolnośląskie,63388,627.14
